,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
408,Uglovoye,44.82,33.6,40.19,44,0,6.02,1584389309
409,Xiuyan,40.29,123.27,28.31,87,0,1.54,1584389309
410,San Cristobal,7.77,-72.22,87.8,48,40,13.87,1584389086
411,Hūn,29.13,15.95,65.57,46,0,6.38,1584389310
412,Kobryn,52.21,24.36,41.63,62,100,11.25,1584389310
413,Dakar,14.69,-17.44,73.4,69,12,17.22,1584389039
414,El Tigre,8.89,-64.25,92.39,35,74,8.41,1584389310
415,Peniche,39.36,-9.38,54.0,66,20,23.04,1584389310
416,Necochea,-38.55,-58.74,82.0,65,0,4.0,1584389310
417,Działdowo,53.24,20.17,43.97,73,88,8.39,1584389310
418,Serra,-20.13,-40.31,86.0,66,20,12.75,1584389161
419,Mbandaka,0.05,18.26,73.31,93,36,2.77,1584389311
420,Visby,57.64,18.3,32.0,100,0,0.51,1584389311
421,Dingle,11.0,122.67,70.79,89,0,6.31,1584389311
422,St. Marys,30.73,-81.55,78.8,82,90,13.87,1584389224
423,Biltine,14.53,20.92,73.85,15,0,5.7,1584389311
424,Senador José Porfírio,-2.59,-51.95,81.77,81,32,4.14,1584389311
425,Yumen,40.28,97.2,36.05,22,0,9.84,1584389312
426,Moussoro,13.64,16.49,76.37,8,7,10.92,1584389312
427,Alirajpur,22.3,74.35,70.07,19,27,8.55,1584389312
428,Walvis Bay,-22.96,14.51,62.01,87,7,4.7,1584389312
429,Rocha,-34.48,-54.33,67.55,56,0,11.99,1584389313
430,Anchorage,61.22,-149.9,28.0,62,40,1.16,1584389067
431,Vardø,70.37,31.11,24.8,92,40,39.15,1584389313
432,Itarema,-2.92,-39.92,76.91,88,100,1.95,1584389313
433,Jalu,29.03,21.55,69.71,21,0,0.89,1584389061
434,Kalabo,-14.97,22.68,68.09,92,85,3.24,1584389313
435,Lentvaris,54.65,25.05,37.99,91,75,14.99,1584389314
436,Foam Lake,51.65,-103.53,16.97,80,37,21.85,1584389314
437,Cambridge,43.36,-80.31,44.01,35,20,10.29,1584389018
438,Faya,18.39,42.45,64.4,63,0,4.7,1584389314
439,Turbat,26.0,63.04,67.19,33,51,1.16,1584389314
440,Ashgabat,37.95,58.38,59.0,72,13,2.24,1584389194
441,Raton,36.9,-104.44,62.6,26,1,8.05,1584389213
442,Ambilobe,-13.2,49.05,76.73,90,68,1.36,1584389315
443,Clearlake,38.96,-122.63,54.0,61,1,5.23,1584389148
444,Murlīganj,25.9,86.98,68.27,40,2,7.36,1584389315
445,Ierissos,40.4,23.88,41.0,68,0,3.96,1584389255
446,Mount Isa,-20.73,139.5,69.8,68,0,2.24,1584389315
447,Noumea,-22.28,166.46,80.01,100,75,3.36,1584389316
448,Manaure,11.78,-72.44,82.4,74,20,20.8,1584389316
449,San Juan,-31.54,-68.54,88.43,20,0,4.29,1584389316
450,Oddur,4.12,43.89,77.45,54,2,10.45,1584389316
451,Tambun,-6.26,107.07,78.01,88,20,2.24,1584389316
452,Bratsk,56.13,101.61,35.6,51,88,22.37,1584389316
453,Strezhevoy,60.73,77.59,3.2,84,0,4.47,1584389317
454,Oskemen,49.96,82.61,30.2,92,75,3.09,1584389317
455,Lorengau,-2.02,147.27,78.17,93,100,14.52,1584389135
456,São João da Barra,-21.64,-41.05,86.0,58,0,16.11,1584389317
457,Tagāb,34.85,69.65,48.2,61,75,4.7,1584389317
458,Indramayu,-6.33,108.32,79.25,83,100,4.7,1584389317
459,Richards Bay,-28.78,32.04,72.23,69,62,19.37,1584389317
460,Kozhevnikovo,56.26,83.97,32.0,69,74,4.0,1584389318
461,San Rafael,-34.62,-68.33,83.57,27,0,15.88,1584389318
462,Muros,42.78,-9.06,53.01,87,40,10.29,1584389318
463,Sal Rei,16.18,-22.92,73.4,60,75,23.04,1584389318
464,Salé,34.04,-6.82,59.0,58,75,6.93,1584389318
465,Shimoda,34.67,138.95,33.01,72,100,13.22,1584389318
466,Monchegorsk,67.94,32.87,22.73,84,78,15.79,1584389318
467,Ayan,56.45,138.17,5.45,74,0,7.9,1584389319
468,Bontang,0.13,117.5,79.43,84,18,12.73,1584389319
469,Srednekolymsk,67.45,153.68,-4.09,98,100,6.93,1584389319
470,Nishihara,26.18,127.76,57.2,67,75,3.36,1584389319
471,Amalāpuram,16.58,82.02,73.13,89,0,1.41,1584389319
472,‘Āhuimanu,21.44,-157.84,78.8,100,90,5.82,1584389319
473,Saint-Michel-des-Saints,46.68,-73.92,22.19,59,99,8.88,1584389319
474,Nabire,-3.37,135.48,71.15,98,99,1.63,1584389320
475,Katsuura,35.13,140.3,41.0,44,20,14.99,1584389320
476,Nuuk,64.18,-51.72,6.8,60,20,17.22,1584389320
477,Shimanovsk,52.0,127.7,18.77,96,100,3.83,1584389320
478,Helong,42.54,129.0,19.49,91,100,5.55,1584389320
479,Qasigiannguit,68.82,-51.19,-2.2,49,20,2.24,1584389320
480,Kieta,-6.22,155.63,80.87,74,94,5.28,1584389321
481,Atasū,48.68,71.64,39.29,75,100,8.79,1584389321
482,Auki,-8.77,160.7,83.75,75,100,7.76,1584389322
483,Kasangulu,-4.59,15.17,78.8,88,100,3.36,1584389322
484,Buala,-8.14,159.59,80.69,78,77,3.18,1584389231
485,Vredendal,-31.67,18.5,73.13,43,0,10.04,1584389322
486,La Ronge,55.1,-105.28,21.2,62,90,17.22,1584389322
487,Celendín,-6.87,-78.15,68.0,60,75,5.82,1584389322
488,Cuenca,-2.88,-78.98,73.4,49,75,2.24,1584389322
489,Mareeba,-17.0,145.43,73.4,88,0,8.05,1584389322
490,Kushva,58.29,59.76,25.61,97,100,4.94,1584389323
491,Örnsköldsvik,63.29,18.72,30.2,46,96,4.7,1584389323
492,Pirgos,35.12,25.72,54.0,58,75,26.4,1584389323
493,Brae,60.4,-1.35,44.6,87,100,28.86,1584389323
494,Hambantota,6.12,81.12,81.23,81,19,20.89,1584389323
495,São Gabriel da Cachoeira,-0.13,-67.09,78.8,88,90,4.7,1584389323
496,Chabahar,25.29,60.64,68.81,64,0,3.49,1584389324
497,Zhalantun,48.0,122.72,20.57,87,96,5.77,1584389324
498,Mananjary,-21.22,48.33,78.89,73,84,1.19,1584389324
499,Saint-François,46.42,3.91,51.8,71,92,5.82,1584389324
500,Krasnosel'kup,65.7,82.47,-14.89,76,0,9.73,1584389324
501,Oruzgan,32.83,66.0,46.13,71,93,3.98,1584389324
502,Kyra,49.58,111.98,19.31,83,0,3.2,1584389325
503,Namatanai,-3.67,152.43,82.13,79,100,3.89,1584389325
504,Port Hedland,-20.32,118.57,78.8,88,0,4.7,1584389325
505,Wajir,1.75,40.06,85.55,54,35,22.79,1584389325
506,North Bend,43.41,-124.22,55.0,53,1,6.93,1584389325
507,Adrar,20.5,-10.07,70.97,15,69,10.36,1584389326
508,Severodvinsk,64.56,39.83,30.2,80,90,20.13,1584389326
509,San Nicolas,18.17,120.6,71.51,72,100,6.6,1584389326
510,Canas,10.43,-85.09,95.0,36,20,19.46,1584389326
511,Ampanihy,-24.7,44.75,72.41,84,76,11.72,1584389326
512,Wajima,37.4,136.9,41.45,59,100,15.68,1584389326
513,Alamor,-4.02,-80.02,89.6,33,75,11.41,1584389326
514,Talnakh,69.49,88.4,-18.4,82,40,6.71,1584389269
515,Panabá,21.28,-88.27,83.39,60,0,15.37,1584389327
516,Borba,-4.39,-59.59,86.63,67,100,1.12,1584389327
517,Koslan,63.46,48.9,28.85,95,100,12.03,1584389327
518,Iskateley,67.68,53.15,29.03,96,100,20.02,1584389327
519,Kawanoechō,34.02,133.57,38.93,63,11,6.51,1584389328
520,Owatonna,44.08,-93.23,37.99,93,99,9.17,1584389328
521,Victor Harbor,-35.57,138.62,72.0,28,100,9.17,1584389328
522,Taiyuan,37.87,112.56,39.2,32,0,2.24,1584389328
523,Hirara,24.8,125.28,65.39,49,0,3.87,1584389328
524,Santa Cruz de Tenerife,28.47,-16.25,66.99,93,75,14.99,1584389328
525,Laguna,38.42,-121.42,48.0,100,40,4.7,1584389329
526,Rio Grande,-32.03,-52.1,77.0,57,40,10.29,1584389329
527,Shillong,25.57,91.88,69.8,68,75,3.36,1584389329
528,La Providencia,28.72,-111.58,78.01,27,5,10.6,1584389329
529,Haines Junction,60.75,-137.51,23.27,71,100,4.61,1584389329
530,Moree,-29.47,149.85,60.8,72,0,5.82,1584389329
531,Hornepayne,49.21,-84.77,31.37,89,100,14.32,1584389329
532,Katherine,-14.47,132.27,73.4,73,60,5.82,1584389329
533,Buchanan,5.88,-10.05,82.4,94,40,5.82,1584389330
534,Mokhsogollokh,61.47,128.92,11.39,96,91,0.25,1584389330
535,Kon Tum,14.35,108.0,62.87,95,75,2.21,1584389330
536,Durango,24.83,-104.83,73.49,21,63,4.45,1584389330
537,Algeciras,36.13,-5.45,61.0,44,0,14.99,1584389332
538,Rabat,33.99,-6.84,59.0,58,75,6.93,1584389332
